id;nom;adresse;telephone;email
1;Practical Cotton Tuna;Alaska Computer port;1-053-893-8506 x98009;Chaya59@yahoo.com
2;bypassing;bandwidth;1-013-956-0672;Birdie21@yahoo.com
3;supply-chains e-tailers payment;e-business Tuna mesh;977-581-3600 x183;Lempi.Dibbert@yahoo.com
4;definition;Wisconsin Metal deposit;755-843-9092 x232;Candida.Stanton@gmail.com
5;program Malaysian Ringgit Integration;strategize Versatile;323-662-1689;Halle.Kreiger22@gmail.com
6;Car Product users;infomediaries;1-963-604-9901 x582;Malvina81@gmail.com
7;process improvement;deposit;843.178.2638 x382;Mack_Pfannerstill2@yahoo.com
8;Rustic Granite Computer Handcrafted Fresh Computer Burgs;online;826.578.4431 x221;Marina7@hotmail.com
9;Knolls optimal Directives;Licensed Mozambique;266.730.2023 x3189;Taylor96@hotmail.com
10;Delaware incubate quantifying;e-tailers Senior Bedfordshire;1-222-746-0892 x494;Antonietta.Blanda90@gmail.com
